Symbol,Company Name,Industry,Prior Close,5 Day Chg,4 Week Chg,52 Week Chg,Mkt Cap
ANSS,"ANSYS, Inc.",Software & IT Services,280.14,1.79%,23.00%,-21.00%,$24.392B
AEHL,Antelope Enterprise Holdings Ltd,Homebuilding & Construction Supplies,1.13,-5.17%,0.00%,-61.00%,$4.979M
ATEX,Anterix Inc,Telecommunications Services,48.13,5.11%,19.00%,-18.00%,$911.775M
AM^H13,Antero Midstream Corp,Oil & Gas Related Equipment and Services,10.38,0.60%,9.00%,10.00%,$4.966B
AR,Antero Resources Corp,Oil & Gas,40.31,-0.26%,16.00%,200.00%,$12.340B
ADAL,Anthemis Digital Acquisitions I Corp,Holding Companies,10.03,0.20%,1.00%,0.00%,$230.690M
HOUS,Anywhere Real Estate Inc,Real Estate Operations,12.55,16.49%,19.00%,-30.00%,$1.435B
ANZU,Anzu Special Acquisition Corp I,Holding Companies,9.83,0.15%,0.00%,1.00%,$417.775M
AON,Aon PLC,Insurance,296.69,4.09%,10.00%,7.00%,$62.580B
APCA,AP Acquisition Corp,Holding Companies,10.07,0.10%,0.00%,0.00%,$129.248M
APA,APA Corp (US),Oil & Gas,34.84,-3.51%,5.00%,76.00%,$11.376B
,Apartment Income REIT Corp,Residential & Commercial REITs,45.42,4.01%,9.00%,-10.00%,$7.003B
AIV,Apartment Investment and Management Co,Residential & Commercial REITs,9.20,18.19%,28.00%,33.00%,$1.400B
APN/U,Apeiron Capital Investment Corp,Holding Companies,10.08,-0.30%,1.00%,0.00%,$173.880M
APLS,Apellis Pharmaceuticals Inc,Pharmaceuticals,65.46,14.79%,46.00%,19.00%,$7.192B
APGN,Apexigen Inc,Biotechnology & Medical Research,7.63,-15.19%,-4.00%,-1.00%,$51.472M
APG,APi Group Corp,Construction & Engineering,17.65,-3.94%,15.00%,-21.00%,$4.126B
APOG,Apogee Enterprises Inc,Homebuilding & Construction Supplies,43.46,4.27%,15.00%,3.00%,$962.943M
ARI,Apollo Commercial Real Est. Finance Inc,Residential & Commercial REITs,12.83,4.25%,20.00%,-16.00%,$1.804B
APEN,Apollo Endosurgery Inc,Healthcare Equipment & Supplies,6.56,-0.16%,25.00%,-30.00%,$266.900M
APO^A10,Apollo Global Management Inc,Investment Banking & Investment Services,60.89,4.82%,18.00%,0.00%,$34.768B
AINV,Apollo Investment Corp.,Investment Banking & Investment Services,13.57,4.24%,23.00%,-2.00%,$861.953M
AMEH,Apollo Medical Holdings Inc,Healthcare Providers & Services,49.43,-10.08%,15.00%,-32.00%,$2.791B
AFT,Apollo Senior Floating Rate Fund Inc,Collective Investments ,13.68,2.18%,6.00%,-14.00%,$213.039M
APGB,Apollo Strategic Growth Capital II,Holding Companies,9.87,-0.04%,0.00%,1.00%,$681.030M
AIF,Apollo Tactical Income Fund Inc,Collective Investments ,13.30,0.00%,8.00%,-15.00%,$192.371M
APPF,AppFolio Inc,Software & IT Services,109.98,5.53%,20.00%,-17.00%,$2.219B
APGT,Appgate Inc,Software & IT Services,7.00,-3.58%,-7.00%,-22.00%,$922.558M
APPH,Appharvest Inc,Food & Tobacco,3.26,-10.92%,-9.00%,-56.00%,$345.195M
APPN,Appian Corp,Software & IT Services,53.20,0.27%,17.00%,-46.00%,$2.179B
APLE,Apple Hospitality REIT Inc,Residential & Commercial REITs,16.78,0.55%,7.00%,12.00%,$3.841B
AAPL,Apple Inc,"Computers, Phones & Household Electronics",168.49,1.87%,14.00%,14.00%,$2.708T
APLD,Applied Blockchain Inc,Financial Technology (Fintech) & Infrastructure,2.15,-9.05%,135.00%,0.00%,$213.289M
APDN,Applied DNA Sciences Inc,Chemicals,4.52,12.44%,407.00%,-26.00%,$37.218M
AERG,"Applied Energetics, Inc.","Machinery, Equipment & Components",2.32,1.07%,3.00%,57.00%,$482.080M
AGTC,Applied Genetic Technologies Corp,Biotechnology & Medical Research,0.43,9.88%,14.00%,-89.00%,$21.734M
AIT,Applied Industrial Technologies Inc,"Machinery, Equipment & Components",118.55,3.36%,17.00%,17.00%,$4.558B
AMAT,"Applied Materials, Inc.",Semiconductors & Semiconductor Equipment ,105.53,-3.63%,15.00%,-19.00%,$91.806B
AMTI,Applied Molecular Transport Inc.,Biotechnology & Medical Research,1.96,4.84%,-23.00%,-94.00%,$76.246M
AAOI,Applied Optoelectronics Inc,Electronic Equipment & Parts,2.20,8.85%,34.00%,-70.00%,$61.343M
APLT,Applied Therapeutics Inc,Biotechnology & Medical Research,1.33,12.73%,17.00%,-92.00%,$34.895M
AUVI,Applied UV Inc,"Machinery, Equipment & Components",1.83,22.78%,-14.00%,-75.00%,$23.722M
ALDS,APPlife Digital Solutions Inc,Software & IT Services,0.06,0.00%,73.00%,-33.00%,$9.507M
APQT,Appliqate Inc,Media & Publishing,0.03,0.00%,0.00%,-88.00%,$1.525M
APP,Applovin Corp,Software & IT Services,34.46,12.95%,31.00%,-29.00%,$10.317B
ASFT,Appsoft Technologies Inc,Software & IT Services,0.51,0.00%,0.00%,-74.00%,$2.122M
APCX,AppTech Payments Corp,Financial Technology (Fintech) & Infrastructure,0.70,0.42%,12.00%,0.00%,$11.597M
APYP,AppYea Inc,Software & IT Services,0.07,-11.17%,21.00%,-87.00%,$1.747M
APRE,Aprea Therapeutics Inc,Biotechnology & Medical Research,0.99,5.96%,-4.00%,-75.00%,$21.724M
APTY,APT Systems Inc,Software & IT Services,0.00,28.00%,14.00%,-76.00%,$1.343M
ATR,"AptarGroup, Inc.",Containers & Packaging,109.63,1.98%,10.00%,-17.00%,$7.163B
APVO,Aptevo Therapeutics Inc,Biotechnology & Medical Research,4.40,12.28%,11.00%,-73.00%,$22.031M
APTX,Aptinyx Inc,Pharmaceuticals,0.60,44.94%,2.00%,-73.00%,$40.630M
APTV,Aptiv PLC,Automobiles & Auto Parts,108.63,-4.02%,15.00%,-36.00%,$29.431B
APM,Aptorum Group Ltd,Pharmaceuticals,1.57,12.41%,18.00%,-36.00%,$18.187M
APTO,Aptose Biosciences Inc,Biotechnology & Medical Research,0.84,6.00%,-2.00%,-68.00%,$77.066M
APXI,APx Acquisition I Corp,Holding Companies,10.04,-0.10%,0.00%,0.00%,$173.190M
APYX,Apyx Medical Corp,Healthcare Equipment & Supplies,10.28,11.08%,53.00%,-3.00%,$354.177M
AQMS,Aqua Metals Inc,Metals & Mining,1.00,8.81%,22.00%,-58.00%,$76.950M
APSI,Aqua Power Systems Inc,Holding Companies,0.26,-0.23%,-6.00%,23.00%,$4.420M
AQB,Aquabounty Technologies Inc,Biotechnology & Medical Research,1.44,-8.33%,-12.00%,-71.00%,$102.400M
AQST,Aquestive Therapeutics Inc,Pharmaceuticals,1.39,39.62%,44.00%,-69.00%,$74.158M
ARMK,Aramark,Hotels & Entertainment Services,36.32,3.03%,18.00%,3.00%,$9.360B
ARAV,Aravive Inc,Biotechnology & Medical Research,0.93,13.32%,12.00%,-76.00%,$26.672M
ARAT,Arax Holdings Corp,Holding Companies,0.53,-20.55%,-11.00%,-95.00%,$5.478M
ARBE,Arbe Robotics Ltd,Aerospace & Defense,6.69,9.41%,15.00%,-37.00%,$415.636M
ARCK,Arbor Rapha Capital Bioholdings Corp I,Holding Companies,10.10,0.10%,0.00%,0.00%,$174.225M
ABR,Arbor Realty Trust Inc,Residential & Commercial REITs,15.55,3.82%,16.00%,-13.00%,$1.730B
ABUS,Arbutus Biopharma Corp,Pharmaceuticals,2.47,1.63%,-1.00%,-18.00%,$370.379M
ARC,ARC Document Solutions Inc,Professional & Commercial Services  ,3.00,3.87%,18.00%,12.00%,$128.994M
ARCW,ARC Group WorldWide Inc,"Machinery, Equipment & Components",1.00,11.11%,-29.00%,-17.00%,$23.377M
ABIO,Arca Biopharma Inc,Biotechnology & Medical Research,2.40,3.42%,-2.00%,-19.00%,$34.583M
,ARCA CONTL SAB DE CV SHS,Beverages,6.70,-2.00%,4.00%,9.00%,$11.814B
RKDA,Arcadia Biosciences Inc,Chemicals,0.95,9.33%,-6.00%,-61.00%,$21.080M
ARCAY,ARCADIS NV (ADR),Construction & Engineering,33.00,0.00%,-1.00%,-28.00%,$2.985B
ARCB,ArcBest Corp,Freight & Logistics Services,90.77,4.48%,26.00%,28.00%,$2.226B
ACLX,Arcellx Inc,Biotechnology & Medical Research,18.95,-3.53%,12.00%,0.00%,$677.216M
MT,ArcelorMittal SA (ADR),Metals & Mining,25.39,6.88%,18.00%,-29.00%,$25.946B
AMSIY,Arcelormittal South Africa Ltd - ADR,Metals & Mining,0.30,0.00%,19.00%,-32.00%,$339.483M
ACGL,Arch Capital Group Ltd.,Insurance,45.98,3.98%,6.00%,9.00%,$16.973B
ARCH,Arch Resources Inc,Coal,147.14,12.21%,-1.00%,104.00%,$2.730B
ARTH,Arch Therapeutics Inc,Healthcare Equipment & Supplies,0.05,-16.82%,-3.00%,-49.00%,$10.905M
LFG,Archaea Energy Inc,Electrical Utilities & IPPs,18.90,9.54%,34.00%,11.00%,$1.519B
ACHR,Archer Aviation Inc,Aerospace & Defense,4.78,-3.86%,32.00%,-58.00%,$833.570M
ADM,Archer-Daniels-Midland Co,Food & Tobacco,84.14,1.64%,16.00%,34.00%,$47.166B
ARHN,Archon Corporation,Hotels & Entertainment Services,19.75,0.00%,-1.00%,20.00%,$114.412M
AROC,Archrock Inc,Oil & Gas Related Equipment and Services,7.88,-6.18%,-4.00%,-5.00%,$1.226B
FUV,Arcimoto Inc,Automobiles & Auto Parts,3.23,2.99%,-4.00%,-83.00%,$125.259M
ARCE,Arco Platform Ltd,Professional & Business Education,16.65,5.88%,13.00%,-39.00%,$502.614M
ARNC,Arconic Corp (PITTSBURGH),Metals & Mining,27.20,-3.42%,-1.00%,-21.00%,$2.792B
ARCO,Arcos Dorados Holdings Inc,Hotels & Entertainment Services,7.38,3.55%,20.00%,36.00%,$939.223M
ANAC,Arctos Northstar Acquisition Corp,Holding Companies,9.89,-0.10%,0.00%,2.00%,$312.771M
ARCT,Arcturus Therapeutics Holdings Inc,Biotechnology & Medical Research,17.03,-9.34%,1.00%,-65.00%,$452.589M
RCUS,Arcus Biosciences Inc,Biotechnology & Medical Research,25.88,2.47%,-7.00%,-1.00%,$1.868B
ARQT,Arcutis Biotherapeutics Inc,Biotechnology & Medical Research,24.83,11.93%,4.00%,15.00%,$1.280B
AMBP,Ardagh Metal Packaging SA,Containers & Packaging,6.48,-4.93%,17.00%,-46.00%,$3.909B
ARDX,Ardelyx Inc,Biotechnology & Medical Research,0.89,18.99%,32.00%,-40.00%,$138.276M
ASC,Ardmore Shipping Corp,Oil & Gas Related Equipment and Services,9.67,9.48%,33.00%,190.00%,$320.918M
AFAC,Arena Fortify Acquisition Corp,Holding Companies,10.09,0.00%,1.00%,0.00%,$174.053M
AREN,Arena Group Holdings Inc,Software & IT Services,10.56,9.97%,9.00%,0.00%,$126.815M
AAC,Ares Acquisition Corp,Holding Companies,9.88,-0.10%,0.00%,2.00%,$988.000M
ARCC,Ares Capital Corporation,Collective Investments ,20.37,2.49%,8.00%,0.00%,$10.108B
ACRE,Ares Commercial Real Estate Corp,Residential & Commercial REITs,13.69,2.77%,10.00%,-7.00%,$745.256M
ARDC,Ares Dynamic Credit Allocation Fund Inc,Collective Investments ,13.12,0.30%,9.00%,-20.00%,$300.632M
ARES,Ares Management Corp,Investment Banking & Investment Services,74.94,1.44%,23.00%,0.00%,$12.888B
AGX,"Argan, Inc.",Construction & Engineering,36.88,-0.85%,2.00%,-20.00%,$523.807M
ARGX,argenx SE - ADR,Biotechnology & Medical Research,374.14,1.48%,4.00%,20.00%,$20.601B
ARBK,Argo Blockchain PLC - ADR,Financial Technology (Fintech) & Infrastructure,6.06,11.72%,41.00%,0.00%,$289.559M
ARGO,"Argo Group International Holdings, Ltd.",Insurance,22.08,-27.29%,-30.00%,-59.00%,$773.242M
ARGU,Argus Capital Corp,Holding Companies,10.06,-0.05%,0.00%,0.00%,$306.579M
,Aridis Pharmaceuticals Inc,Biotechnology & Medical Research,2.31,8.87%,94.00%,-45.00%,$27.995M
RAM,Aries I Acquisition Corp,Holding Companies,10.21,0.00%,0.00%,4.00%,$146.767M
ARIS,Aris Water Solutions Inc,Oil & Gas Related Equipment and Services,18.03,-20.53%,1.00%,0.00%,$459.891M
ANET,Arista Networks Inc,Communications & Networking,126.03,4.74%,25.00%,40.00%,$38.348B
ARIZ,Arisz Acquisition Corp,Holding Companies,9.89,0.00%,0.00%,0.00%,$88.031M
ARKR,Ark Restaurants Corp,Hotels & Entertainment Services,21.84,4.24%,13.00%,41.00%,$77.576M
ARKAY,Arkema SA - ADR,Chemicals,95.48,0.00%,13.00%,-24.00%,$7.093B
ARKO,Arko Corp.,Oil & Gas,9.68,4.73%,7.00%,14.00%,$1.162B
AAIC,Arlington Asset Investment Corp,Investment Banking & Investment Services,3.39,10.39%,10.00%,-11.00%,$103.019M
ARLO,Arlo Technologies Inc,"Computers, Phones & Household Electronics",7.22,4.13%,21.00%,27.00%,$632.703M
AHH,Armada Hoffler Properties Inc,Residential & Commercial REITs,14.00,1.16%,8.00%,4.00%,$948.220M
AMNF,Armanino Foods Of Distinction Inc.,Food & Tobacco,3.60,-0.56%,5.00%,1.00%,$115.434M
ARMP,Armata Pharmaceuticals Inc,Biotechnology & Medical Research,4.25,-0.47%,1.00%,10.00%,$153.476M
ARMM,Armm Inc,Software & IT Services,1.75,-12.35%,19.00%,0.00%,$30.352M
ARR,"ARMOUR Residential REIT, Inc.",Residential & Commercial REITs,7.63,0.52%,12.00%,-27.00%,$874.665M
AWI,Armstrong World Industries Inc,Homebuilding & Construction Supplies,91.35,1.53%,12.00%,-18.00%,$4.238B
AOGO,Arogo Capital Acquisition Corp,Holding Companies,9.95,0.10%,0.00%,0.00%,$107.878M
ARQQ,Arqit Quantum Inc,Software & IT Services,5.97,7.01%,3.00%,0.00%,$657.136M
ARRY,Array Technologies Inc,Renewable Energy,21.31,40.86%,114.00%,36.00%,$3.203B
ARVL,Arrival SA,Automobiles & Auto Parts,1.39,3.33%,29.00%,-84.00%,$842.558M
ARW,"Arrow Electronics, Inc.",Semiconductors & Semiconductor Equipment ,111.49,-12.20%,-2.00%,-4.00%,$7.155B
AROW,Arrow Financial Corporation,Banking Services,34.57,0.12%,11.00%,-5.00%,$553.708M
ARWR,Arrowhead Pharmaceuticals Inc,Biotechnology & Medical Research,45.63,5.86%,13.00%,-21.00%,$4.830B
BANX,Arrowmark Financial Corp,Collective Investments ,18.98,2.58%,3.00%,-15.00%,$134.728M
ARRW,Arrowroot Acquisition Corp,Holding Companies,9.86,0.00%,1.00%,2.00%,$283.475M
ARTE,Artemis Strategic Investment Corp,Holding Companies,10.00,0.10%,0.00%,0.00%,$201.250M
ATMS,Artemis Therapeutics Inc,Holding Companies,1.79,9.15%,-56.00%,19.00%,$9.224M
AIP,Arteris Inc,Software & IT Services,8.95,-1.48%,20.00%,0.00%,$292.522M
ARTNA,Artesian Resources Corporation,Water Utilities,53.97,4.53%,9.00%,41.00%,$461.875M
AJG,Arthur J. Gallagher & Co.,Insurance,185.20,4.61%,12.00%,32.00%,$38.954B
AITX,Artificial Intelligence Tech Solutns Inc,Integrated Hardware & Software,0.01,0.82%,-5.00%,-65.00%,$60.835M
APAM,Artisan Partners Asset Management Inc,Investment Banking & Investment Services,38.37,-1.30%,6.00%,-27.00%,$2.587B
AORT,Artivion Inc,Healthcare Equipment & Supplies,21.76,1.53%,19.00%,-13.00%,$877.276M
ARTW,Arts-Way Manufacturing Co. Inc.,"Machinery, Equipment & Components",2.14,0.00%,-2.00%,-40.00%,$9.930M
AVNI,Arvana Inc,Holding Companies,0.25,0.00%,-45.00%,-64.00%,$8.537M
ARVN,Arvinas Inc,Biotechnology & Medical Research,54.54,8.58%,18.00%,-36.00%,$2.902B
ARYD,ARYA Sciences Acquisition Corp IV,Holding Companies,9.88,0.30%,1.00%,-2.00%,$152.598M
ARYE,ARYA Sciences Acquisition Corp V,Holding Companies,9.77,-0.10%,1.00%,-2.00%,$150.937M
IPTK,AS-IP Tech Inc,Software & IT Services,0.09,0.00%,-25.00%,-54.00%,$23.962M
ASA,ASA Gold and Precious Metals Ltd,Collective Investments ,15.44,5.77%,17.00%,-27.00%,$297.838M
ASAN,Asana Inc,Software & IT Services,27.29,18.06%,59.00%,-64.00%,$2.859B
ABG,"Asbury Automotive Group, Inc.",Other Specialty Retailers,182.15,2.44%,13.00%,-6.00%,$4.031B
ACDI,Ascendant Digital Acquisition Corp III,Holding Companies,10.09,0.10%,1.00%,0.00%,$302.700M
ASND,Ascendis Pharma A/S,Biotechnology & Medical Research,104.81,6.93%,11.00%,-21.00%,$5.970B
ACNT,Ascent Industries Co,Metals & Mining,17.25,0.00%,31.00%,61.00%,$103.759M
ASTI,"Ascent Solar Technologies, Inc.",Renewable Energy,5.05,1.96%,-6.00%,-94.00%,$154.464M
ASX^D18,ASE Technology Holding Co Ltd (ADR),Semiconductors & Semiconductor Equipment ,6.20,4.92%,16.00%,-30.00%,$13.516B
ASXC,Asensus Surgical Inc,Healthcare Equipment & Supplies,0.67,31.92%,45.00%,-70.00%,$158.602M
ASGN,ASGN Inc,Software & IT Services,103.57,0.90%,14.00%,-2.00%,$5.199B
AHT,"Ashford Hospitality Trust, Inc.",Residential & Commercial REITs,11.16,10.01%,39.00%,-22.00%,$385.009M
AINC,Ashford Inc,Investment Banking & Investment Services,17.55,23.05%,21.00%,3.00%,$54.530M
ASH,Ashland Inc,Chemicals,105.17,5.54%,8.00%,23.00%,$5.694B
ASAV,ASI Aviation Inc,Aerospace & Defense,0.53,0.00%,0.00%,-4.00%,$5.442M
APWC,Asia Pacific Wire & Cable CorporationLtd,"Machinery, Equipment & Components",1.44,1.62%,17.00%,-55.00%,$19.832M
ASFH,Asiafin Holdings Corp,Media & Publishing,1.20,0.00%,0.00%,0.00%,$87.983M
ASLN,Aslan Pharmaceuticals Ltd (ADR),Biotechnology & Medical Research,0.69,17.65%,12.00%,-79.00%,$240.619M
ASMIY,ASM INTERNATIONAL NV,Semiconductors & Semiconductor Equipment ,308.98,0.00%,38.00%,-17.00%,$19.456B
ASML,ASML Holding NV (ADR),Semiconductors & Semiconductor Equipment ,562.41,-3.05%,24.00%,-28.00%,$228.605B
ASPN,Aspen Aerogels Inc,Homebuilding & Construction Supplies,13.60,-6.38%,43.00%,-61.00%,$549.998M
ASPU,Aspen Group Inc,Miscellaneous Educational Service Providers,0.95,3.83%,-9.00%,-85.00%,$23.944M
AZPN,Aspen Technology Inc,Software & IT Services,213.00,-0.77%,18.00%,0.00%,$13.808B
AWH,Aspira Women's Health Inc,Biotechnology & Medical Research,0.92,7.30%,9.00%,-76.00%,$102.908M
ASMB,Assembly Biosciences Inc,Pharmaceuticals,2.11,4.33%,10.00%,-39.00%,$102.202M
ASRT,Assertio Holdings Inc,Pharmaceuticals,3.80,10.50%,43.00%,231.00%,$183.076M
AMK,AssetMark Financial Holdings Inc,Investment Banking & Investment Services,20.87,3.83%,18.00%,-21.00%,$1.541B
ASSF,Assisted 4 Living Inc,Healthcare Providers & Services,1.85,0.00%,0.00%,-51.00%,$83.888M
ASB,Associated Banc Corp,Banking Services,21.01,3.02%,14.00%,-1.00%,$3.158B
,Associated Capital Group Inc,Investment Banking & Investment Services,40.46,-1.68%,8.00%,12.00%,$139.223M
AIZ,"Assurant, Inc.",Insurance,163.44,5.07%,-3.00%,-2.00%,$8.696B
IONM,Assure Holdings Corp,Healthcare Providers & Services,1.60,42.57%,-7.00%,0.00%,$20.672M
AGO,Assured Guaranty Ltd.,Insurance,54.39,-7.83%,-1.00%,8.00%,$3.369B
ASTS,AST SpaceMobile Inc,Telecommunications Services,10.87,25.31%,44.00%,-5.00%,$562.870M
ASTE,"Astec Industries, Inc.","Machinery, Equipment & Components",44.43,4.67%,5.00%,-31.00%,$1.016B
ASKH,Astika Holdings Inc,Media & Publishing,0.05,6.91%,73.00%,-38.00%,$1.459M
ASRE,Astra Energy Inc,Electrical Utilities & IPPs,2.50,8.23%,136.00%,369.00%,$113.640M
ASTR,Astra Space Inc,Aerospace & Defense,1.73,-14.55%,8.00%,-88.00%,$363.113M
AZN,AstraZeneca plc (ADR),Pharmaceuticals,64.65,1.50%,2.00%,15.00%,$31.833B
ASAX,Astrea Acquisition Corp,Holding Companies,9.87,0.10%,1.00%,0.00%,$217.515M
ATXS,Astria Therapeutics Inc,Biotechnology & Medical Research,5.40,24.25%,42.00%,-34.00%,$70.292M
ASTO,Astro Communications Inc.,Professional & Commercial Services  ,3.00,0.00%,0.00%,0.00%,$2.763M
ATRO,Astronics Corporation,Aerospace & Defense,11.50,3.05%,18.00%,-19.00%,$366.735M
ALOT,AstroNova Inc,"Computers, Phones & Household Electronics",12.10,-0.92%,-1.00%,-26.00%,$88.548M
ASTC,Astrotech Corp,Aerospace & Defense,0.48,4.70%,10.00%,-55.00%,$24.365M
ASUR,Asure Software Inc,Software & IT Services,5.75,2.65%,-2.00%,-44.00%,$115.817M
T,AT&T Inc.,Telecommunications Services,18.04,-1.96%,-12.00%,-36.00%,$128.553B
AACG,ATA Creativity Global(ADR),Miscellaneous Educational Service Providers,1.91,-3.61%,40.00%,-33.00%,$41.638M
ACRL,Atacama Resources International Inc,Metals & Mining,0.01,11.56%,-2.00%,-66.00%,$1.693M
ATAI,ATAI Life Sciences NV,Biotechnology & Medical Research,4.43,17.00%,13.00%,-67.00%,$712.047M
ATRA,Atara Biotherapeutics Inc,Biotechnology & Medical Research,4.65,56.15%,25.00%,-61.00%,$438.783M
AVIR,Atea Pharmaceuticals Inc,Biotechnology & Medical Research,8.23,-2.36%,4.00%,-73.00%,$685.222M
ATTO,Atento SA,Professional & Commercial Services  ,5.82,-33.14%,-30.00%,-78.00%,$87.300M
ATER,Aterian Inc,Household Goods,2.91,16.80%,17.00%,-34.00%,$202.166M
ABIT,Athena Bitcoin Global,Financial Technology (Fintech) & Infrastructure,0.55,-15.38%,83.00%,-74.00%,$91.163M
ACAQ,Athena Consumer Acquisition Corp,Holding Companies,10.06,0.20%,0.00%,0.00%,$242.044M
AHNR,Athena Gold Corp,Metals & Mining,0.07,-11.34%,7.00%,-20.00%,$8.449M
ATEK,Athena Technology Acquisition Corp II,Holding Companies,9.89,0.30%,1.00%,0.00%,$260.394M
ATNX,Athenex Inc,Biotechnology & Medical Research,0.54,91.18%,90.00%,-68.00%,$65.413M
ATHX,Athersys Inc,Biotechnology & Medical Research,0.28,13.44%,39.00%,-83.00%,$70.954M
ATHA,Athira Pharma Inc,Biotechnology & Medical Research,3.75,10.92%,17.00%,-61.00%,$141.135M
SWET,Athlon Acquisition Corp,Holding Companies,9.87,0.10%,0.00%,2.00%,$272.412M
ATI,ATI Inc,Aerospace & Defense,31.29,21.46%,35.00%,58.00%,$2.543B
ATIP,ATI Physical Therapy Inc,Healthcare Providers & Services,0.96,-14.28%,-21.00%,-76.00%,$197.889M
ATIF,ATIF Holdings Ltd,Professional & Commercial Services  ,1.96,-1.04%,2.00%,-54.00%,$3.591M
ATKR,Atkore Inc,"Machinery, Equipment & Components",91.48,-1.08%,6.00%,-5.00%,$3.780B
AAME,Atlantic American Corporation,Insurance,2.96,-1.54%,0.00%,-30.00%,$60.398M
ASAQ,Atlantic Avenue Acquisition Corp,Holding Companies,9.96,0.10%,0.00%,3.00%,$249.000M
ACAH,Atlantic Coastal Acquisition Corp,Holding Companies,9.82,0.00%,0.00%,2.00%,$338.790M
ACAB,Atlantic Coastal Acquisition Corp II,Holding Companies,10.01,0.00%,0.00%,0.00%,$300.300M
AUB,Atlantic Union Bankshares Corp,Banking Services,34.21,1.10%,5.00%,-10.00%,$2.556B
ALDA,Atlantica Inc,Holding Companies,1.80,-32.08%,-32.00%,212.00%,$4.426M
AY,Atlantica Sustainable Infrastructure PLC,Electrical Utilities & IPPs,35.38,2.25%,11.00%,-9.00%,$3.774B
ATLC,Atlanticus Holdings Corp,Banking Services,37.74,-1.96%,-2.00%,-17.00%,$546.437M
AAWW,"Atlas Air Worldwide Holdings, Inc.",Freight & Logistics Services,100.19,3.99%,67.00%,35.00%,$2.838B
ATCO,Atlas Corp,Freight & Logistics Services,14.00,17.85%,32.00%,-2.00%,$3.448B
ACII,Atlas Crest Investment Corp II,Holding Companies,9.85,0.00%,0.00%,2.00%,$339.825M
AFHIF,Atlas Financial Holdings Inc,Insurance,0.15,85.71%,-35.00%,-65.00%,$2.633M
ATCX,Atlas Technical Consultants Inc,Construction & Engineering,7.98,10.94%,45.00%,-34.00%,$293.449M
ATYG,Atlas Technology Group Inc,Holding Companies,0.00,0.00%,67.00%,0.00%,$2.925M
TEAM,Atlassian Corporation PLC,Software & IT Services,275.80,27.12%,55.00%,-15.00%,$35.358B
ATO,Atmos Energy Corporation,Natural Gas Utilities,115.27,-4.03%,2.00%,13.00%,$16.125B
ATNI,ATN International Inc,Telecommunications Services,46.89,1.51%,6.00%,4.00%,$739.127M
ATOM,Atomera Inc,Semiconductors & Semiconductor Equipment ,13.90,14.34%,41.00%,-38.00%,$314.460M
ATOS,Atossa Therapeutics Inc,Biotechnology & Medical Research,1.05,6.92%,2.00%,-68.00%,$132.955M
ATC,Atotech Ltd,Chemicals,22.60,-1.18%,6.00%,-4.00%,$591.103M
BCEL,Atreca Inc,Biotechnology & Medical Research,2.40,-2.58%,7.00%,-63.00%,$76.502M
RERE,ATRenew Inc,Diversified Retail,2.72,-1.52%,-9.00%,-80.00%,$251.372M
ATRC,AtriCure Inc.,Healthcare Equipment & Supplies,50.73,2.88%,20.00%,-31.00%,$2.355B
ATRI,Atrion Corporation,Healthcare Equipment & Supplies,665.70,0.55%,4.00%,4.00%,$1.189B
LIFE,aTyr Pharma Inc,Biotechnology & Medical Research,3.65,1.36%,23.00%,-24.00%,$102.404M
AUBN,Auburn National Bancorporation Inc,Banking Services,28.30,4.51%,9.00%,-16.00%,$99.305M
AUD,Audacy Inc,Media & Publishing,0.74,-10.01%,0.00%,-81.00%,$103.918M
AUUD,Auddia Inc,Software & IT Services,1.07,-14.09%,1.00%,-64.00%,$13.391M
ADPXY,Audio Pixels Holdings Ltd,"Computers, Phones & Household Electronics",10.64,0.00%,0.00%,-48.00%,$305.261M
AUDC,AUDIOCODES LTD,Software & IT Services,22.48,-3.04%,3.00%,-31.00%,$742.245M
AEYE,Audioeye  Inc,Software & IT Services,6.80,19.33%,14.00%,-30.00%,$77.846M
AUGX,Augmedix Inc,Professional & Commercial Services  ,1.66,8.50%,2.00%,0.00%,$62.081M
ADRT,Ault Disruptive Technologies Corp,Holding Companies,10.07,0.30%,0.00%,0.00%,$28.951M
AUOTY,AUO Corp (ADR),Electronic Equipment & Parts,6.71,12.80%,19.00%,-6.00%,$3.274B
AURA,Aura Biosciences Inc,Biotechnology & Medical Research,17.44,36.29%,36.00%,0.00%,$510.294M
AFAR,Aura FAT Projects Acquisition Corp,Holding Companies,9.90,0.00%,0.00%,0.00%,$114.989M
AUSI,Aura Systems Inc.,"Machinery, Equipment & Components",0.30,-3.23%,-14.00%,-13.00%,$26.129M
ARAO,AuraSource Inc,Metals & Mining,0.09,0.00%,-9.00%,-69.00%,$6.293M
AUPH,Aurinia Pharmaceuticals Inc,Biotechnology & Medical Research,8.17,0.00%,-27.00%,-44.00%,$1.159B
AURC,Aurora Acquisition Corp,Holding Companies,9.86,0.31%,0.00%,-1.00%,$274.108M
AUR,Aurora Innovation Inc,Software & IT Services,3.16,-1.08%,37.00%,0.00%,$308.890M
JG,Aurora Mobile Ltd - ADR,Software & IT Services,1.01,4.01%,9.00%,-53.00%,$62.740M
ATAK,Aurora Technology Acquisition Corp,Holding Companies,9.98,0.30%,0.00%,0.00%,$201.596M
ASCK,Auscrete Corp,Homebuilding & Construction Supplies,0.02,8.11%,-41.00%,-83.00%,$1.146M
